Vendedor	Treinamento	Data	Cliente	 Valor 	Alunos	Instrutor	Conteúdo	Período	Total	Estado 	Avaliação Instrutor
Roberto	Access VBA	10/06/2016	Pessoa Física	 1.870,00 	8	Paulo	Personalizado	Quinta-feira	14.960,00	São Paulo	5
Myslaine	Word VBA	10/06/2016	Pessoa Física	 1.910,00 	8	Sandra	Regular	Personalizado	15.280,00	São Paulo	3
Katia	Outlook	10/06/2016	Pessoa Física	 2.240,00 	11	Sandra	Regular	Manhã	24.640,00	São Paulo	2
Vanessa	Outlook VBA	10/06/2016	Pessoa Jurídica	 2.479,00 	10	Humberto	Regular	Tarde	24.790,00	São Paulo	4
Renata	PowerPoint	12/06/2016	Pessoa Jurídica	 3.200,00 	12	Henrique	Personalizado	Noite	38.400,00	São Paulo	3
Rodrigo	PowerPoint VBA	12/06/2016	Pessoa Jurídica	 3.921,00 	8	Douglas	Regular	Integral	31.368,00	São Paulo	4
Priscila	Access	12/06/2016	Pessoa Física	 780,00 	9	Jane	Regular	Madrugada	7.020,00	São Paulo	2
Mirian	Windows	12/06/2016	Pessoa Jurídica	 980,00 	8	Caio 	Regular	Sexta-feira	7.840,00	São Paulo	4
Murilo	Excel Básico	14/06/2016	Pessoa Física	 1.020,00 	11	Fernando	Personalizado	Sábado	11.220,00	São Paulo	5
Roberto	Excel Intermediário	14/06/2016	Pessoa Física	 1.340,00 	8	Roberto	Regular	Personalizado	10.720,00	São Paulo	3
Myslaine	Excel Avançado	14/06/2016	Pessoa Física	 1.870,00 	11	Rosana	Regular	Manhã	20.570,00	São Paulo	5
Katia	Excel Dashboards	14/06/2016	Pessoa Jurídica	 1.910,00 	11	Sandra	Regular	Tarde	21.010,00	São Paulo	3
Vanessa	Excel VBA iniciante	16/06/2016	Pessoa Jurídica	 2.240,00 	9	Sérgio	Personalizado	Noite	20.160,00	São Paulo	3
Renata	Excel VBA avançado	16/06/2016	Pessoa Jurídica	 2.479,00 	9	Manuel	Regular	Integral	22.311,00	São Paulo	5
Rodrigo	Access VBA	16/06/2016	Pessoa Física	 3.200,00 	10	Joaquim	Regular	Madrugada	32.000,00	São Paulo	2
Priscila	Word VBA	16/06/2016	Pessoa Jurídica	 3.921,00 	10	Paulo	Regular	Domingo	39.210,00	São Paulo	3
Mirian	Outlook	18/06/2016	Pessoa Física	 780,00 	9	Leandro	Personalizado	Segunda-feira	7.020,00	São Paulo	3
Murilo	Outlook VBA	18/06/2016	Pessoa Física	 980,00 	8	José	Regular	Personalizado	7.840,00	São Paulo	3
Roberto	PowerPoint	18/06/2016	Pessoa Física	 1.020,00 	10	Caio 	Regular	Manhã	10.200,00	São Paulo	3
Myslaine	PowerPoint VBA	18/06/2016	Pessoa Jurídica	 1.340,00 	10	Caio 	Regular	Tarde	13.400,00	São Paulo	3
Katia	Access	01/06/2016	Pessoa Jurídica	 1.870,00 	12	Fernando	Personalizado	Noite	22.440,00	São Paulo	3
Vanessa	Windows	01/06/2016	Pessoa Jurídica	 1.910,00 	9	Fernando	Regular	Integral	17.190,00	São Paulo	3
Renata	Excel Básico	01/06/2016	Pessoa Física	 2.240,00 	8	Ana	Regular	Madrugada	17.920,00	São Paulo	5
Rodrigo	Excel Intermediário	01/06/2016	Pessoa Jurídica	 2.479,00 	8	Paulo	Regular	Terça-feira	19.832,00	São Paulo	3
Priscila	Excel Avançado	01/06/2016	Pessoa Física	 3.200,00 	10	Sandra	Personalizado	Quarta-feira	32.000,00	São Paulo	3
Mirian	Excel Dashboards	01/06/2016	Pessoa Física	 3.921,00 	10	Sandra	Regular	Personalizado	39.210,00	São Paulo	3
Murilo	Excel VBA iniciante	02/06/2016	Pessoa Física	 780,00 	8	Humberto	Regular	Manhã	6.240,00	São Paulo	5
Roberto	Excel VBA avançado	02/06/2016	Pessoa Jurídica	 980,00 	9	Henrique	Regular	Tarde	8.820,00	São Paulo	3
Myslaine	Access VBA	02/06/2016	Pessoa Jurídica	 1.020,00 	12	Douglas	Personalizado	Noite	12.240,00	São Paulo	3
Katia	Word VBA	02/06/2016	Pessoa Jurídica	 1.340,00 	9	Jane	Regular	Integral	12.060,00	São Paulo	4
Vanessa	Outlook	04/06/2016	Pessoa Física	 1.870,00 	12	Caio 	Regular	Madrugada	22.440,00	São Paulo	5
Renata	Outlook VBA	04/06/2016	Pessoa Jurídica	 1.910,00 	8	Fernando	Regular	Quinta-feira	15.280,00	São Paulo	5
Rodrigo	PowerPoint	04/06/2016	Pessoa Física	 2.240,00 	8	Roberto	Personalizado	Sexta-feira	17.920,00	São Paulo	3
Priscila	PowerPoint VBA	04/06/2016	Pessoa Física	 2.479,00 	11	Rosana	Regular	Personalizado	27.269,00	São Paulo	5
Mirian	Access	06/06/2016	Pessoa Física	 3.200,00 	10	Sandra	Regular	Manhã	32.000,00	São Paulo	3
Murilo	Windows	06/06/2016	Pessoa Jurídica	 3.921,00 	10	Sérgio	Regular	Tarde	39.210,00	São Paulo	3
Roberto	Excel Básico	06/06/2016	Pessoa Jurídica	 780,00 	11	Manuel	Personalizado	Noite	8.580,00	São Paulo	3
Myslaine	Excel Intermediário	06/06/2016	Pessoa Jurídica	 980,00 	11	Joaquim	Regular	Integral	10.780,00	São Paulo	2
Katia	Excel Avançado	08/06/2016	Pessoa Física	 1.020,00 	11	Paulo	Regular	Madrugada	11.220,00	São Paulo	2
Vanessa	Excel Dashboards	08/06/2016	Pessoa Jurídica	 1.340,00 	12	Leandro	Regular	Sábado	16.080,00	São Paulo	2
Renata	Excel VBA iniciante	08/06/2016	Pessoa Física	 1.870,00 	11	José	Personalizado	Domingo	20.570,00	São Paulo	5
Rodrigo	Excel VBA avançado	08/06/2016	Pessoa Física	 1.910,00 	10	Caio 	Regular	Personalizado	19.100,00	São Paulo	5
Priscila	Access VBA	10/06/2016	Pessoa Física	 2.240,00 	10	Caio 	Regular	Manhã	22.400,00	São Paulo	3
Mirian	Word VBA	10/06/2016	Pessoa Jurídica	 2.479,00 	12	Fernando	Regular	Tarde	29.748,00	São Paulo	4
Murilo	Outlook	10/06/2016	Pessoa Jurídica	 3.200,00 	9	Fernando	Personalizado	Noite	28.800,00	São Paulo	4
Roberto	Outlook VBA	10/06/2016	Pessoa Jurídica	 3.921,00 	9	Ana	Regular	Integral	35.289,00	São Paulo	4
Myslaine	PowerPoint	12/06/2016	Pessoa Física	 780,00 	10	Paulo	Regular	Madrugada	7.800,00	São Paulo	4
Katia	PowerPoint VBA	12/06/2016	Pessoa Jurídica	 980,00 	11	Sandra	Regular	Segunda-feira	10.780,00	São Paulo	5
Vanessa	Access	12/06/2016	Pessoa Física	 1.020,00 	8	Sandra	Personalizado	Terça-feira	8.160,00	São Paulo	3
Renata	Windows	12/06/2016	Pessoa Física	 1.340,00 	9	Humberto	Regular	Personalizado	12.060,00	São Paulo	4
Rodrigo	Excel Básico	14/06/2016	Pessoa Física	 1.870,00 	11	Henrique	Regular	Manhã	20.570,00	São Paulo	5
Priscila	Excel Intermediário	14/06/2016	Pessoa Jurídica	 1.910,00 	10	Douglas	Regular	Tarde	19.100,00	São Paulo	5
Mirian	Excel Avançado	14/06/2016	Pessoa Jurídica	 2.240,00 	9	Jane	Personalizado	Noite	20.160,00	São Paulo	4
Murilo	Excel Dashboards	14/06/2016	Pessoa Jurídica	 2.479,00 	9	Caio 	Regular	Integral	22.311,00	São Paulo	3
Roberto	Excel VBA iniciante	16/06/2016	Pessoa Física	 3.200,00 	12	Fernando	Regular	Madrugada	38.400,00	São Paulo	4
Myslaine	Excel VBA avançado	16/06/2016	Pessoa Jurídica	 3.921,00 	12	Roberto	Regular	Quarta-feira	47.052,00	São Paulo	4
Katia	Access VBA	16/06/2016	Pessoa Física	 780,00 	11	Rosana	Personalizado	Quinta-feira	8.580,00	São Paulo	5
Vanessa	Word VBA	16/06/2016	Pessoa Física	 980,00 	12	Sandra	Regular	Personalizado	11.760,00	São Paulo	5
Renata	Outlook	18/06/2016	Pessoa Física	 1.020,00 	8	Sérgio	Regular	Manhã	8.160,00	São Paulo	5
Rodrigo	Outlook VBA	18/06/2016	Pessoa Jurídica	 1.340,00 	9	Manuel	Regular	Tarde	12.060,00	São Paulo	4
Priscila	PowerPoint	18/06/2016	Pessoa Jurídica	 1.870,00 	9	Joaquim	Personalizado	Noite	16.830,00	São Paulo	2
Mirian	PowerPoint VBA	18/06/2016	Pessoa Jurídica	 1.910,00 	8	Paulo	Regular	Integral	15.280,00	São Paulo	4
Murilo	Access	01/06/2016	Pessoa Física	 2.240,00 	8	Leandro	Regular	Madrugada	17.920,00	São Paulo	5
Roberto	Windows	01/06/2016	Pessoa Jurídica	 2.479,00 	8	José	Regular	Sexta-feira	19.832,00	São Paulo	5
Myslaine	Excel Básico	01/06/2016	Pessoa Física	 3.200,00 	10	Caio 	Personalizado	Sábado	32.000,00	São Paulo	2
Katia	Excel Intermediário	01/06/2016	Pessoa Física	 3.921,00 	10	Caio 	Regular	Personalizado	39.210,00	São Paulo	2
Vanessa	Excel Avançado	01/06/2016	Pessoa Física	 780,00 	11	Fernando	Regular	Manhã	8.580,00	São Paulo	2
Renata	Excel Dashboards	01/06/2016	Pessoa Jurídica	 980,00 	9	Fernando	Regular	Tarde	8.820,00	São Paulo	4
Rodrigo	Excel VBA iniciante	02/06/2016	Pessoa Jurídica	 1.020,00 	8	Ana	Personalizado	Noite	8.160,00	São Paulo	3
Priscila	Excel VBA avançado	02/06/2016	Pessoa Jurídica	 1.340,00 	8	Paulo	Regular	Integral	10.720,00	São Paulo	3
Mirian	Access VBA	02/06/2016	Pessoa Física	 1.870,00 	12	Sandra	Regular	Madrugada	22.440,00	São Paulo	5
Murilo	Word VBA	02/06/2016	Pessoa Jurídica	 1.910,00 	12	Sandra	Regular	Domingo	22.920,00	São Paulo	2
Roberto	Outlook	04/06/2016	Pessoa Física	 2.240,00 	10	Humberto	Personalizado	Segunda-feira	22.400,00	São Paulo	2
Myslaine	Outlook VBA	04/06/2016	Pessoa Física	 2.479,00 	9	Henrique	Regular	Personalizado	22.311,00	São Paulo	4
Katia	PowerPoint	04/06/2016	Pessoa Física	 3.200,00 	11	Douglas	Regular	Manhã	35.200,00	São Paulo	2
Vanessa	PowerPoint VBA	04/06/2016	Pessoa Jurídica	 3.921,00 	8	Jane	Regular	Tarde	31.368,00	São Paulo	4
Renata	Access	06/06/2016	Pessoa Jurídica	 780,00 	9	Caio 	Personalizado	Noite	7.020,00	São Paulo	5
Rodrigo	Windows	06/06/2016	Pessoa Jurídica	 980,00 	12	Fernando	Regular	Integral	11.760,00	São Paulo	5
Priscila	Excel Básico	06/06/2016	Pessoa Física	 1.020,00 	11	Roberto	Regular	Madrugada	11.220,00	São Paulo	4
Mirian	Excel Intermediário	06/06/2016	Pessoa Jurídica	 1.340,00 	12	Rosana	Regular	Terça-feira	16.080,00	São Paulo	3
Murilo	Excel Avançado	08/06/2016	Pessoa Física	 1.870,00 	12	Sandra	Personalizado	Quarta-feira	22.440,00	São Paulo	3
Roberto	Excel Dashboards	08/06/2016	Pessoa Física	 1.910,00 	12	Sérgio	Regular	Personalizado	22.920,00	São Paulo	2
Myslaine	Excel VBA iniciante	08/06/2016	Pessoa Física	 2.240,00 	12	Manuel	Regular	Manhã	26.880,00	São Paulo	5
Katia	Excel VBA avançado	08/06/2016	Pessoa Jurídica	 2.479,00 	8	Joaquim	Regular	Tarde	19.832,00	São Paulo	4
Vanessa	Access VBA	10/06/2016	Pessoa Jurídica	 3.200,00 	12	Paulo	Personalizado	Noite	38.400,00	São Paulo	4
Renata	Word VBA	10/06/2016	Pessoa Jurídica	 3.921,00 	12	Leandro	Regular	Integral	47.052,00	São Paulo	5
Rodrigo	Outlook	10/06/2016	Pessoa Física	 780,00 	10	José	Regular	Madrugada	7.800,00	São Paulo	3
Priscila	Outlook VBA	10/06/2016	Pessoa Jurídica	 980,00 	10	Caio 	Regular	Quinta-feira	9.800,00	São Paulo	3
Mirian	PowerPoint	12/06/2016	Pessoa Física	 1.020,00 	11	Caio 	Personalizado	Sexta-feira	11.220,00	São Paulo	3
Murilo	PowerPoint VBA	12/06/2016	Pessoa Física	 1.340,00 	10	Fernando	Regular	Personalizado	13.400,00	São Paulo	4
Roberto	Access	12/06/2016	Pessoa Física	 1.870,00 	11	Fernando	Regular	Manhã	20.570,00	São Paulo	5
Myslaine	Windows	12/06/2016	Pessoa Jurídica	 1.910,00 	11	Ana	Regular	Tarde	21.010,00	São Paulo	3
Katia	Excel Básico	14/06/2016	Pessoa Jurídica	 2.240,00 	8	Paulo	Personalizado	Noite	17.920,00	São Paulo	5
Vanessa	Excel Intermediário	14/06/2016	Pessoa Jurídica	 2.479,00 	12	Sandra	Regular	Integral	29.748,00	São Paulo	5
Renata	Excel Avançado	14/06/2016	Pessoa Física	 3.200,00 	8	Sandra	Regular	Madrugada	25.600,00	São Paulo	5
Rodrigo	Excel Dashboards	14/06/2016	Pessoa Jurídica	 3.921,00 	11	Humberto	Regular	Sábado	43.131,00	São Paulo	4
Priscila	Excel VBA iniciante	16/06/2016	Pessoa Física	 780,00 	12	Henrique	Personalizado	Domingo	9.360,00	São Paulo	3
Mirian	Excel VBA avançado	16/06/2016	Pessoa Física	 980,00 	12	Douglas	Regular	Personalizado	11.760,00	São Paulo	3
Murilo	Access VBA	16/06/2016	Pessoa Física	 1.020,00 	12	Jane	Regular	Manhã	12.240,00	São Paulo	2
Roberto	Word VBA	16/06/2016	Pessoa Jurídica	 1.340,00 	9	Caio 	Regular	Tarde	12.060,00	São Paulo	4
Myslaine	Outlook	18/06/2016	Pessoa Jurídica	 1.870,00 	12	Fernando	Personalizado	Noite	22.440,00	São Paulo	4
Katia	Outlook VBA	18/06/2016	Pessoa Jurídica	 1.910,00 	10	Roberto	Regular	Integral	19.100,00	São Paulo	5
Vanessa	PowerPoint	18/06/2016	Pessoa Física	 2.240,00 	10	Rosana	Regular	Madrugada	22.400,00	São Paulo	4
Renata	PowerPoint VBA	18/06/2016	Pessoa Jurídica	 2.479,00 	12	Sandra	Regular	Segunda-feira	29.748,00	São Paulo	2
Rodrigo	Access	01/06/2016	Pessoa Física	 3.200,00 	11	Sérgio	Personalizado	Terça-feira	35.200,00	São Paulo	3
Priscila	Windows	01/06/2016	Pessoa Física	 3.921,00 	8	Manuel	Regular	Personalizado	31.368,00	São Paulo	2
Mirian	Excel Básico	01/06/2016	Pessoa Física	 780,00 	8	Joaquim	Regular	Manhã	6.240,00	São Paulo	4
Murilo	Excel Intermediário	01/06/2016	Pessoa Jurídica	 980,00 	9	Paulo	Regular	Tarde	8.820,00	São Paulo	4
Roberto	Excel Avançado	01/06/2016	Pessoa Jurídica	 1.020,00 	9	Leandro	Personalizado	Noite	9.180,00	São Paulo	3
Myslaine	Excel Dashboards	01/06/2016	Pessoa Jurídica	 1.340,00 	10	José	Regular	Integral	13.400,00	São Paulo	2
Katia	Excel VBA iniciante	02/06/2016	Pessoa Física	 1.870,00 	12	Caio 	Regular	Madrugada	22.440,00	São Paulo	5
Vanessa	Excel VBA avançado	02/06/2016	Pessoa Jurídica	 1.910,00 	10	Caio 	Regular	Quarta-feira	19.100,00	São Paulo	5
Renata	Access VBA	02/06/2016	Pessoa Física	 2.240,00 	9	Fernando	Personalizado	Quinta-feira	20.160,00	São Paulo	4
Rodrigo	Word VBA	02/06/2016	Pessoa Física	 2.479,00 	8	Fernando	Regular	Personalizado	19.832,00	São Paulo	5
Priscila	Outlook	04/06/2016	Pessoa Física	 3.200,00 	10	Ana	Regular	Manhã	32.000,00	São Paulo	3
Mirian	Outlook VBA	04/06/2016	Pessoa Jurídica	 3.921,00 	10	Paulo	Regular	Tarde	39.210,00	São Paulo	3
Murilo	PowerPoint	04/06/2016	Pessoa Jurídica	 780,00 	9	Sandra	Personalizado	Noite	7.020,00	São Paulo	2
Roberto	PowerPoint VBA	04/06/2016	Pessoa Jurídica	 980,00 	11	Sandra	Regular	Integral	10.780,00	São Paulo	2
Myslaine	Access	06/06/2016	Pessoa Física	 1.020,00 	10	Humberto	Regular	Madrugada	10.200,00	São Paulo	4
Katia	Windows	06/06/2016	Pessoa Jurídica	 1.340,00 	8	Henrique	Regular	Sexta-feira	10.720,00	São Paulo	5
Vanessa	Excel Básico	06/06/2016	Pessoa Física	 1.870,00 	9	Douglas	Personalizado	Sábado	16.830,00	São Paulo	5
Renata	Excel Intermediário	06/06/2016	Pessoa Física	 1.910,00 	12	Jane	Regular	Personalizado	22.920,00	São Paulo	5
Rodrigo	Excel Avançado	08/06/2016	Pessoa Física	 2.240,00 	10	Caio 	Regular	Manhã	22.400,00	São Paulo	3
Priscila	Excel Dashboards	08/06/2016	Pessoa Jurídica	 2.479,00 	9	Fernando	Regular	Tarde	22.311,00	São Paulo	2
Mirian	Excel VBA iniciante	08/06/2016	Pessoa Jurídica	 3.200,00 	8	Roberto	Personalizado	Noite	25.600,00	São Paulo	4
Murilo	Excel VBA avançado	08/06/2016	Pessoa Jurídica	 3.921,00 	10	Rosana	Regular	Integral	39.210,00	São Paulo	3
Roberto	Access VBA	10/06/2016	Pessoa Física	 780,00 	8	Sandra	Regular	Madrugada	6.240,00	São Paulo	2
Myslaine	Word VBA	10/06/2016	Pessoa Jurídica	 980,00 	9	Sérgio	Regular	Domingo	8.820,00	São Paulo	5
Katia	Outlook	10/06/2016	Pessoa Física	 1.020,00 	10	Manuel	Personalizado	Segunda-feira	10.200,00	São Paulo	5
Vanessa	Outlook VBA	10/06/2016	Pessoa Física	 1.340,00 	9	Joaquim	Regular	Personalizado	12.060,00	São Paulo	4
Renata	PowerPoint	12/06/2016	Pessoa Física	 1.870,00 	10	Paulo	Regular	Manhã	18.700,00	São Paulo	4
Rodrigo	PowerPoint VBA	12/06/2016	Pessoa Jurídica	 1.910,00 	11	Leandro	Regular	Tarde	21.010,00	São Paulo	3
Priscila	Access	12/06/2016	Pessoa Jurídica	 2.240,00 	12	José	Personalizado	Noite	26.880,00	São Paulo	4
Mirian	Windows	12/06/2016	Pessoa Jurídica	 2.479,00 	12	Caio 	Regular	Integral	29.748,00	São Paulo	2
Murilo	Excel Básico	14/06/2016	Pessoa Física	 3.200,00 	9	Caio 	Regular	Madrugada	28.800,00	São Paulo	4
Roberto	Excel Intermediário	14/06/2016	Pessoa Jurídica	 3.921,00 	10	Fernando	Regular	Terça-feira	39.210,00	São Paulo	3
Myslaine	Excel Avançado	14/06/2016	Pessoa Física	 780,00 	11	Fernando	Personalizado	Quarta-feira	8.580,00	São Paulo	2
Katia	Excel Dashboards	14/06/2016	Pessoa Física	 980,00 	11	Ana	Regular	Personalizado	10.780,00	São Paulo	3
Vanessa	Excel VBA iniciante	16/06/2016	Pessoa Física	 1.020,00 	11	Paulo	Regular	Manhã	11.220,00	São Paulo	3
Renata	Excel VBA avançado	16/06/2016	Pessoa Jurídica	 1.340,00 	10	Sandra	Regular	Tarde	13.400,00	São Paulo	3
Rodrigo	Access VBA	16/06/2016	Pessoa Jurídica	 1.870,00 	8	Sandra	Personalizado	Noite	14.960,00	São Paulo	4
Priscila	Word VBA	16/06/2016	Pessoa Jurídica	 1.910,00 	9	Humberto	Regular	Integral	17.190,00	São Paulo	2
Mirian	Outlook	18/06/2016	Pessoa Física	 2.240,00 	9	Henrique	Regular	Madrugada	20.160,00	São Paulo	5
Murilo	Outlook VBA	18/06/2016	Pessoa Jurídica	 2.479,00 	11	Douglas	Regular	Quinta-feira	27.269,00	São Paulo	4
Roberto	PowerPoint	18/06/2016	Pessoa Física	 3.200,00 	12	Jane	Personalizado	Sexta-feira	38.400,00	São Paulo	4
Myslaine	PowerPoint VBA	18/06/2016	Pessoa Física	 3.921,00 	11	Caio 	Regular	Personalizado	43.131,00	São Paulo	3
Katia	Access	01/06/2016	Pessoa Física	 780,00 	8	Fernando	Regular	Manhã	6.240,00	São Paulo	2
Vanessa	Windows	01/06/2016	Pessoa Jurídica	 980,00 	9	Roberto	Regular	Tarde	8.820,00	São Paulo	2
Renata	Excel Básico	01/06/2016	Pessoa Jurídica	 1.020,00 	11	Rosana	Personalizado	Noite	11.220,00	São Paulo	5
Rodrigo	Excel Intermediário	01/06/2016	Pessoa Jurídica	 1.340,00 	12	Sandra	Regular	Integral	16.080,00	São Paulo	4
Priscila	Excel Avançado	01/06/2016	Pessoa Física	 1.870,00 	9	Sérgio	Regular	Madrugada	16.830,00	São Paulo	2
Mirian	Excel Dashboards	01/06/2016	Pessoa Jurídica	 1.910,00 	8	Manuel	Regular	Sábado	15.280,00	São Paulo	4
Murilo	Excel VBA iniciante	02/06/2016	Pessoa Física	 2.240,00 	8	Joaquim	Personalizado	Domingo	17.920,00	São Paulo	5
Roberto	Excel VBA avançado	02/06/2016	Pessoa Física	 2.479,00 	8	Paulo	Regular	Personalizado	19.832,00	São Paulo	3
Myslaine	Access VBA	02/06/2016	Pessoa Física	 3.200,00 	12	Leandro	Regular	Manhã	38.400,00	São Paulo	3
Katia	Word VBA	02/06/2016	Pessoa Jurídica	 3.921,00 	11	José	Regular	Tarde	43.131,00	São Paulo	3
Vanessa	Outlook	04/06/2016	Pessoa Jurídica	 780,00 	11	Caio 	Personalizado	Noite	8.580,00	São Paulo	5
Renata	Outlook VBA	04/06/2016	Pessoa Jurídica	 980,00 	10	Caio 	Regular	Integral	9.800,00	São Paulo	2
Rodrigo	PowerPoint	04/06/2016	Pessoa Física	 1.020,00 	9	Fernando	Regular	Madrugada	9.180,00	São Paulo	2
Priscila	PowerPoint VBA	04/06/2016	Pessoa Jurídica	 1.340,00 	12	Fernando	Regular	Segunda-feira	16.080,00	São Paulo	4
Mirian	Access	06/06/2016	Pessoa Física	 1.870,00 	8	Ana	Personalizado	Terça-feira	14.960,00	São Paulo	4
Murilo	Windows	06/06/2016	Pessoa Física	 1.910,00 	10	Paulo	Regular	Personalizado	19.100,00	São Paulo	3
Roberto	Excel Básico	06/06/2016	Pessoa Física	 2.240,00 	10	Sandra	Regular	Manhã	22.400,00	São Paulo	3
Myslaine	Excel Intermediário	06/06/2016	Pessoa Jurídica	 2.479,00 	10	Sandra	Regular	Tarde	24.790,00	São Paulo	5
Katia	Excel Avançado	08/06/2016	Pessoa Jurídica	 3.200,00 	12	Humberto	Personalizado	Noite	38.400,00	São Paulo	5
Vanessa	Excel Dashboards	08/06/2016	Pessoa Jurídica	 3.921,00 	8	Henrique	Regular	Integral	31.368,00	São Paulo	3
Renata	Excel VBA iniciante	08/06/2016	Pessoa Física	 780,00 	8	Douglas	Regular	Madrugada	6.240,00	São Paulo	2
Rodrigo	Excel VBA avançado	08/06/2016	Pessoa Jurídica	 980,00 	9	Jane	Regular	Quarta-feira	8.820,00	São Paulo	2
Priscila	Access VBA	10/06/2016	Pessoa Física	 1.020,00 	12	Caio 	Personalizado	Quinta-feira	12.240,00	São Paulo	5
Mirian	Word VBA	10/06/2016	Pessoa Física	 1.340,00 	12	Fernando	Regular	Personalizado	16.080,00	São Paulo	5
Murilo	Outlook	10/06/2016	Pessoa Física	 1.870,00 	9	Roberto	Regular	Manhã	16.830,00	São Paulo	3
Roberto	Outlook VBA	10/06/2016	Pessoa Jurídica	 1.910,00 	8	Rosana	Regular	Tarde	15.280,00	São Paulo	5
Myslaine	PowerPoint	12/06/2016	Pessoa Jurídica	 2.240,00 	12	Sandra	Personalizado	Noite	26.880,00	São Paulo	3
Katia	PowerPoint VBA	12/06/2016	Pessoa Jurídica	 2.479,00 	10	Sérgio	Regular	Integral	24.790,00	São Paulo	3
Vanessa	Access	12/06/2016	Pessoa Física	 3.200,00 	9	Manuel	Regular	Madrugada	28.800,00	São Paulo	3
Renata	Windows	12/06/2016	Pessoa Jurídica	 3.921,00 	12	Joaquim	Regular	Sexta-feira	47.052,00	São Paulo	2
Rodrigo	Excel Básico	14/06/2016	Pessoa Física	 780,00 	10	Paulo	Personalizado	Sábado	7.800,00	São Paulo	2
Priscila	Excel Intermediário	14/06/2016	Pessoa Física	 980,00 	8	Leandro	Regular	Personalizado	7.840,00	São Paulo	3
Mirian	Excel Avançado	14/06/2016	Pessoa Física	 1.020,00 	8	José	Regular	Manhã	8.160,00	São Paulo	3
Murilo	Excel Dashboards	14/06/2016	Pessoa Jurídica	 1.340,00 	8	Caio 	Regular	Tarde	10.720,00	São Paulo	2
Roberto	Excel VBA iniciante	16/06/2016	Pessoa Jurídica	 1.870,00 	10	Caio 	Personalizado	Noite	18.700,00	São Paulo	4
Myslaine	Excel VBA avançado	16/06/2016	Pessoa Jurídica	 1.910,00 	11	Fernando	Regular	Integral	21.010,00	São Paulo	3
Katia	Access VBA	16/06/2016	Pessoa Física	 2.240,00 	9	Fernando	Regular	Madrugada	20.160,00	São Paulo	4
Vanessa	Word VBA	16/06/2016	Pessoa Jurídica	 2.479,00 	11	Ana	Regular	Domingo	27.269,00	São Paulo	5
Renata	Outlook	18/06/2016	Pessoa Física	 3.200,00 	10	Paulo	Personalizado	Segunda-feira	32.000,00	São Paulo	5
Rodrigo	Outlook VBA	18/06/2016	Pessoa Física	 3.921,00 	12	Sandra	Regular	Personalizado	47.052,00	São Paulo	2
Priscila	PowerPoint	18/06/2016	Pessoa Física	 780,00 	9	Sandra	Regular	Manhã	7.020,00	São Paulo	3
Mirian	PowerPoint VBA	18/06/2016	Pessoa Jurídica	 980,00 	10	Humberto	Regular	Tarde	9.800,00	São Paulo	3
Murilo	Access	01/06/2016	Pessoa Jurídica	 1.020,00 	10	Henrique	Personalizado	Noite	10.200,00	São Paulo	4
Roberto	Windows	01/06/2016	Pessoa Jurídica	 1.340,00 	8	Douglas	Regular	Integral	10.720,00	São Paulo	2
Myslaine	Excel Básico	01/06/2016	Pessoa Física	 1.870,00 	12	Jane	Regular	Madrugada	22.440,00	São Paulo	4
Katia	Excel Intermediário	01/06/2016	Pessoa Jurídica	 1.910,00 	9	Caio 	Regular	Terça-feira	17.190,00	São Paulo	5
Vanessa	Excel Avançado	01/06/2016	Pessoa Física	 2.240,00 	8	Fernando	Personalizado	Quarta-feira	17.920,00	São Paulo	5
Renata	Excel Dashboards	01/06/2016	Pessoa Física	 2.479,00 	11	Roberto	Regular	Personalizado	27.269,00	São Paulo	5
Rodrigo	Excel VBA iniciante	02/06/2016	Pessoa Física	 3.200,00 	10	Rosana	Regular	Manhã	32.000,00	São Paulo	3
Priscila	Excel VBA avançado	02/06/2016	Pessoa Jurídica	 3.921,00 	9	Sandra	Regular	Tarde	35.289,00	São Paulo	3
Mirian	Access VBA	02/06/2016	Pessoa Jurídica	 780,00 	12	Sérgio	Personalizado	Noite	9.360,00	São Paulo	5
Murilo	Word VBA	02/06/2016	Pessoa Jurídica	 980,00 	11	Manuel	Regular	Integral	10.780,00	São Paulo	2
Roberto	Outlook	04/06/2016	Pessoa Física	 1.020,00 	12	Joaquim	Regular	Madrugada	12.240,00	São Paulo	5
Myslaine	Outlook VBA	04/06/2016	Pessoa Jurídica	 1.340,00 	10	Paulo	Regular	Quinta-feira	13.400,00	São Paulo	5
Katia	PowerPoint	04/06/2016	Pessoa Física	 1.870,00 	10	Leandro	Personalizado	Sexta-feira	18.700,00	São Paulo	5
Vanessa	PowerPoint VBA	04/06/2016	Pessoa Física	 1.910,00 	12	José	Regular	Personalizado	22.920,00	São Paulo	2
Renata	Access	06/06/2016	Pessoa Física	 2.240,00 	12	Caio 	Regular	Manhã	26.880,00	São Paulo	3
Rodrigo	Windows	06/06/2016	Pessoa Jurídica	 2.479,00 	10	Caio 	Regular	Tarde	24.790,00	São Paulo	3
Priscila	Excel Básico	06/06/2016	Pessoa Jurídica	 3.200,00 	11	Fernando	Personalizado	Noite	35.200,00	São Paulo	5
Mirian	Excel Intermediário	06/06/2016	Pessoa Jurídica	 3.921,00 	12	Fernando	Regular	Integral	47.052,00	São Paulo	5
